;;;;;;;;;;;;;;;;;;;;;;
id;APPROVAL;AUDIT RESULT;SCORE P/N;CERTYFICATE;COLLABORATION;KLIENT;DELIVERY SCHEDULES;ID_SAP;NUMBER OF INTERFERENCE;LOCATION;PPM PERFORMANCE ;ZAKLAD;PSCR;NAME OF THE PART;PART NUMBER;;;;SUPPLIER;PART CLASIFICATION;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;;;;18;;;
1;100;100;98;100;100;VW;100;5109918;100;80;100;PSAPT;100;PROFIL GUMOWY 26x20 Q8 RS;884101300;;;;3DL ITALIA SRL;A;;
2;100;100;98;100;100;VW;100;5109918;100;80;100;PSAPT;100;PROFIL GUMOWY 26x20 Q8 BASIS/SLINE;884103700;;;;3DL ITALIA SRL;A;;
3;100;100;100;100;100;VW;100;5108631;100;100;100;PSAPT;100;PRIMER 4298 UV conf. 4Oz (118 ml);138101015N;;;;3M;B;;
4;100;100;90;100;100;VW;0;5108631;100;100;100;PSAPT;100;TASMA 3M PT1500T ;880912210N;;;;3M;B;;
5;100;100;90;100;100;VW;0;5108631;100;100;100;PSAPT;100;TASMA 3M GT6012F H=10 GR.1,2mm  66MT;880915000N;;;;3M;B;;
6;100;100;90;100;100;VW;0;5108631;100;100;100;PSAPT;100;TASMA 3M GT6008 H=10mm GR.0,8mm 110MT;880918200N;;;;3M;B;;
7;100;100;100;100;100;VW;100;5108631;100;100;100;PSAPT;100;TASMA 3M GT6012F H=8 GR.1,2mm  66MT;880918600;;;;3M;B;;
8;100;100;100;100;100;VW;100;5108631;100;100;100;PSAPT;100;PROFIL 3M NADKOLE DRZWI SX BASIS/SLINE;880920710;;;;3M;B;;
9;100;100;100;100;100;VW;100;5108631;100;100;100;PSAPT;100;PROFIL 3M NADKOLE DRZWI DX BASIS/SLINE;880920810;;;;3M;B;;=====================================================================================
10;100;100;100;100;100;VW;100;5108631;100;100;100;PSAPT;100;PROFIL 3M LISTWA PRZ.SX 1.2x55x18 SLINE;880921300;;;;3M;B;;
11;100;100;100;100;100;VW;100;5108631;100;100;100;PSAPT;100;PROFIL 3M LISTWA PRZ.DX 1.2x55x18 SLINE;880921400;;;;3M;B;;
12;100;100;100;100;100;VW;100;5108631;100;100;100;PSAPT;100;PROFIL 3M LISTWA TYL.SX 1.2x60x26 SLINE;880921500;;;;3M;B;;
