SUPPLIER	ZAK£AD	15.														
" SUPPLIER SCORE"""	16.															Operation failed: There was an error while applying the SQL script to the database.
" SUPPLIER CLASIFICATION"""	ID_SAP															ERROR 1062: 1062: Duplicate entry '1' for key 'supplier.PRIMARY'
																SQL Statement:
				id	class	sap_Id	Name	score	plant							INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('1', 'A', '5109918', '3DL ITALIA SRL', '98')
				1	A	5109918	3DL ITALIA SRL	98	PSAPT		98	98				
				2	A	5108631	3M	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '2' for key 'supplier.PRIMARY'
				3	A	5104678	5104678    ALBIS POLSKA	100	PSAPT		100	100				SQL Statement:
				4	A	5100575	A.RAYMOND	98	PSAPT		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('2', 'A', '5108631', '3M', '98')
				5	 B	5109912	ACTION COMP.	82	PSAPT		82	82				
				6	C	5100584	CFITALIA	74	PSAPT		74	74				ERROR 1062: 1062: Duplicate entry '3' for key 'supplier.PRIMARY'
				7	A	5100584	ADLER POLSKA	100	PSAPT		100	100				SQL Statement:
				8	A	5106708	AD PLASTIK	98	PSCPS		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('3', 'A', '5104678', '5104678    ALBIS POLSKA', '100')
				9	A	15000087	AKZO	98	PSCPS		98	98				
				10	 B	5105108	ALFA ELEKTRO	86	PSAPT		86	86				ERROR 1062: 1062: Duplicate entry '4' for key 'supplier.PRIMARY'
				11	A	5109463	ARKEMA	98	PSCPS		98	98				SQL Statement:
				12	A	5103234	ATG	98	PSCPS		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('4', 'A', '5100575', 'A.RAYMOND', '98')
				13	A	5104218	BASELL	98	PSCPS		98	98				
				14	A	5109930	BASF POLSKA	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '5' for key 'supplier.PRIMARY'
				15	A	5100579	BDV	98	PSAPT		98	98				SQL Statement:
				16	A	5108903	BILPLAST	100	PSAPT		100	100				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('5', 'B', '5109912', 'ACTION COMP.', '82')
				17	A	5108319	BMP	98	PSAPT		98	98				
				18	A	5105916	BOLLHOFF	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '6' for key 'supplier.PRIMARY'
				19	A	5107205	BOREALIS AG	98	PSAPT		98	98				SQL Statement:
				20	A	5105367	BOSCH GMBH	98	PSAPT		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('6', 'C', '5100584', 'CFITALIA', '74')
				21	A	5108654	BUDCHEM	100	PSAPT		100	100				
				22	A	5101001	CIMA	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '7' for key 'supplier.PRIMARY'
				23	A	5109662	CABOT	94	PSAPT		94	94				SQL Statement:
				24	A	5100571	CAILLAU	98	PSAPT		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('7', 'A', '5100584', 'ADLER POLSKA', '100')
				25	A	5107988	CASTELCROM	92	PSAPT		92	92				
				26	A	5109357	CELANESE SOFTER	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '8' for key 'supplier.PRIMARY'
				27	A	5104473	CLARIANT PLASTICS AN	94	PSAPT		94	94				SQL Statement:
				28	A	5103112	CLEANING	98	PSCPS		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('8', 'A', '5106708', 'AD PLASTIK', '98')
				29	A	5104566	COBRAPLAST SRL	98	PSAPT		98	98				
				30	A	5109760	CONTINENTAL (VITESCO)	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '9' for key 'supplier.PRIMARY'
				31	A	5106784	COVESTRO	98	PSCPS		98	98				SQL Statement:
				32	A	5107865	DBI PLASTICS SP. Z O.O.	100	PSAPT		100	100				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('9', 'A', '15000087', 'AKZO', '98')
				33	A	5104322	DOMO	94	PSAPT		94	94				
				34	A	5104182	DRUKARNIA W&W	100	PSAPT		100	100				ERROR 1062: 1062: Duplicate entry '10' for key 'supplier.PRIMARY'
				35	A	5109637	DUPONT	94	PSAPT		94	94				SQL Statement:
				36	A	15000246	EDILCHIMICA	100	PSAPT		100	100				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('10', 'B', '5105108', 'ALFA ELEKTRO', '86')
				38	A	5108811	EIDOS SRL	98	PSAPT		98	98				
				39	A	5107295	EJOT POLSKA SP. ZO.O.	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '11' for key 'supplier.PRIMARY'
				40	A	5104337	ELEKTROMETAL	100	PSAPT		100	100				SQL Statement:
				41	A	5106366	ETICOD	100	PSAPT		100	100				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('11', 'A', '5109463', 'ARKEMA', '98')
				42	A	51000170	ETTER SAS	98	PSAPT		98	98				
				43	A	5107373	EUROFIX POLSKA SP. ZO. O.	100	PSCPS		100	100				ERROR 1062: 1062: Duplicate entry '12' for key 'supplier.PRIMARY'
				44	A	5107024	EUROLAMEC	98	PSAPT		98	98				SQL Statement:
				45	A	5100451	EVAL EUROPE NV	98	PSAPT		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('12', 'A', '5103234', 'ATG', '98')
				46	A	5100180	FARA INDUSTRIALE S.R.L.	98	PSAPT		98	98				
				47	A	5106716	FGI	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '13' for key 'supplier.PRIMARY'
				48	A	5100180	FIERA	98	PSAPT		98	98				SQL Statement:
				49	A	5109839	FTE - VALEO	98	PSAPT		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('13', 'A', '5104218', 'BASELL', '98')
				50	A	5101628	GAM-PLAST	98	PSAPT		98	98				
				51	A	5106261	GERDES GMBH	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '14' for key 'supplier.PRIMARY'
				52	A	5101749	 HUTCHINSON POLAND SP.ZO.O.	100	PSAPT		100	100				SQL Statement:
				53	A	5107782	IGUS	98	PSAPT		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('14', 'A', '5109930', 'BASF POLSKA', '98')
				54	A	5100910	ILTAR ITALBOX	98	PSAPT		98	98				
				55	A	5105191	INTERMECA SARL	94	PSAPT		94	94				ERROR 1062: 1062: Duplicate entry '15' for key 'supplier.PRIMARY'
				56	A	5100747	 ISAG SRL	98	PSAPT		98	98				SQL Statement:
				57	A	5103266	ITIB	98	PSAPT		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('15', 'A', '5100579', 'BDV', '98')
				58	A	5100016	ITW	98	PSAPT		98	98				
				59	A	5109697	IVICT	94	PSAPT		94	94				ERROR 1062: 1062: Duplicate entry '16' for key 'supplier.PRIMARY'
				60	A	5104800	IZOBLOK	100	PSCPS		100	100				SQL Statement:
				61	A	5104943	JOHN GUEST POLSKA SP.Z O.O	100	PSAPT		100	100				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('16', 'A', '5108903', 'BILPLAST', '100')
				62	A	5109683	JP TECHNOLOGY	100	PSAPT		100	100				
				63	A	5100973	KAB-LEM  S.P.A.	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '17' for key 'supplier.PRIMARY'
				64	A	5100797	KLEVERS	98	PSAPT		98	98				SQL Statement:
				65	 B	5107950	KRAKCHEMIA S.A.	86	PSAPT		86	86				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('17', 'A', '5108319', 'BMP', '98')
				66	A	5105255	KURZ  PC PRINT	100	PSAPT		100	100				
				67	A	5108750	LA FRANCE	94	PSCPS		94	94				ERROR 1062: 1062: Duplicate entry '18' for key 'supplier.PRIMARY'
				68	A	5107015	LANXESS DEUTSCHLAND GMBH	98	PSCPS		98	98				SQL Statement:
				69	A	15000027	LAPO COMPOUNDS SRL	98	PSCPS		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('18', 'A', '5105916', 'BOLLHOFF', '98')
				70	A	5105622	LOHMANN	98	PSAPT		98	98				
				71	A	5108219	LOTTE CHEMICAL	94	PSCPS		94	94				ERROR 1062: 1062: Duplicate entry '19' for key 'supplier.PRIMARY'
				72	A	5100490	M.C.I	98	PSCPS		98	98				SQL Statement:
				73	A	5100550	M.S.A	98	PSCPS		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('19', 'A', '5107205', 'BOREALIS AG', '98')
				74	A	5104098	M5	98	PSAPT		98	98				
				75	A	5100984	MAIP	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '20' for key 'supplier.PRIMARY'
				76	A	5104493	MANNHUMMEL 	100	PSAPT		100	100				SQL Statement:
				77	A	5101031	MASCHERPA	98	PSAPT		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('20', 'A', '5105367', 'BOSCH GMBH', '98')
				78	A	5106607	MBI	98	PSAPT		98	98				
				79	A	5104683	MCCP POLAND	98	PSCPS		98	98				ERROR 1062: 1062: Duplicate entry '21' for key 'supplier.PRIMARY'
				80	A	5100490	MCI	98	PSAPT		98	98				SQL Statement:
				81	A	5107966	MCPP EUROPE	96	PSCPS		96	96				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('21', 'A', '5108654', 'BUDCHEM', '100')
				82	A	5106128	MEHLER	98	PSCPS		98	98				
				83	C	5108510	MESGUM SP. Z O.O.	36	PSAPT		36	36				ERROR 1062: 1062: Duplicate entry '22' for key 'supplier.PRIMARY'
				84	A	5106462	METALGALVANO	98	PSAPT		98	98				SQL Statement:
				85	A	5108890	METALURGICAS PABUR	94	PSAPT		94	94				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('22', 'A', '5101001', 'CIMA', '98')
				86	A	5100452	MITSUI	98	PSAPT		98	98				
				87	A	5101295	MOLLIFICIO LECHESSE	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '23' for key 'supplier.PRIMARY'
				88	A	5100977	MPE	98	PSCPS		98	98				SQL Statement:
				89	A	5100989	MUSTAD	98	PSCPS		98	98				INSERT INTO `prima_sosnowiec`.`supplier` (`id`, `classification`, `id_sap`, `name`, `total_score`) VALUES ('23', 'A', '5109662', 'CABOT', '94')
				90	A	5106214	NATIONAL MOLDING	98	PSAPT		98	98				
				91	A	5101100	NUOVO MOLLIFICIO CAMPANO	98	PSAPT		98	98				ERROR 1062: 1062: Duplicate entry '24' for key 'supplier.PRIMARY'
				92	A	5100113	OCM	98	PSCPS		98	98				SQL Statement:
